Client #,Name,Pick Up Date,Dietary Considerations,Items Provided,Adults,Seniors,Children,Children's Ages,Email,Phone Number,
7814529,Maya Chen,2026-01-16 @ 9:00 AM,,"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 9:00 AM,,1.00 x Single - $175,1,0,0,,liam.brooks841@example.com,2506271504,
6429710,Ava Patel,2026-01-16 @ 9:00 AM,"55+, Other (Specify)","1.00 x Double - $200, 1.00 x Vitality Double - $15",0,2,0,,ava.patel710@example.com,2503986742,
9180365,Noah Carter,2026-01-16 @ 9:00 AM,"Fibromyalgia, Diabetes, 55+","1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,noah.carter365@example.com,2507459026,
407516,Sophia Reed,2026-01-16 @ 9:00 AM,,1.00 x Single - $175,1,0,0,,sophia.reed516@example.com,2505813097,
5562018,Ethan Garcia,2026-01-16 @ 9:00 AM,,1.00 x Double - $200,1,0,0,,ethan.garcia018@example.com,2502647835,c
7349052,Olivia Nguyen,2026-01-16 @ 9:15 AM,"55+, Low Sugar, Heart","1.00 x Double - $200, 1.00 x Vitality Double - $15",0,2,0,,olivia.nguyen052@example.com,2508391564,
6208743,Lucas Ortiz,2026-01-16 @ 9:15 AM,55+,"1.00 x Single - $175, 1.00 x Vitality Single - $10",0,1,0,,lucas.ortiz743@example.com,2504729081,
1953087,Amelia Parker,2026-01-16 @ 9:15 AM,Other (Specify),"1.00 x Snack Pack - $30, 1.00 x Multi - $300, 1.00 x Vitality Single - $10",2,0,1,,amelia.parker087@example.com,2506134759,
8637419,James Taylor,2026-01-16 @ 9:15 AM,,1.00 x Single - $175,1,0,0,,james.taylor419@example.com,2509582046,
7814529,Maya Chen,2026-01-16 @ 9:15 AM,"Other (Specify), 55+","1.00 x Double - $200, 1.00 x Vitality Single - $10",1,1,0,,maya.chen529@example.com,2509134821,
3096841,Liam Brooks,2026-01-16 @ 9:15 AM,"55+, Other (Specify)","1.00 x Multi - $300, 1.00 x Vitality Single - $10",3,1,0,,liam.brooks841@example.com,2506271504,
